0
TXNL1
FAM43A
PSMA4
AP3B1
ATP6V1H
ADAMTS10
AIM2
ZNF219
PLAA
TRMT1L
EMC7
COPB2
NAB2
DTX4
NOG
COL6A2
GYG1
REPIN1
NRCAM
DERL2
POMP
POLD3
BRCA1
SPOCK2
VPS29
HSPA5
UBE2F
TMEM259
SMIM10L2A
PITPNM2
PCMT1
FMNL3
ZNF362
RNF216
PPP1R13B
DECR1
GIGYF1
CACNA2D3
SIN3B
CPSF2
RMI2
NDUFB3
ARHGAP18
CCDC130
TRIP4
SFT2D3
ID3
ITPKB
FBLN2
ANXA1
GPRIN1
FBRSL1
BLCAP
ANXA5
CRYL1
EMC2
NDC80
UBE2A
STMN3
ACKR3
DCHS1
TMIGD2
TRIM69
SUB1
CACHD1
CRIP2
MAP3K14
CHST14
COPG1
SURF6
GLRX2
LMNB1
N4BP3
EPPK1
TBC1D10A
FBXL12
NDUFB6
AMIGO1
ZNF517
DNAJC1
TXNDC17
RPL13
GLE1
COPA
DBP
ZNF740
BRCA2
THRA
TMEM129
MFNG
CRTC1
PSMD6
UBE2K
LDB1
HIST1H2BO
HOXB2
CEP162
HIST1H2AG
MMADHC
